x,Curve2-1
40.419,0.6331
42.494,4.2391
44.997,2.8029
51.659,1.8021
52.508,2.4594
55.993,2.0557
60040.419,0.6331
60042.494,4.2391
60046.138,2.5337
60057.605,1.5349
60059.382,2.5947
60064.012,1.9516
120040.419,0.6331
120042.495,4.2466
120048.675,2.1075
120063.26,1.3568
120064.474,3.4589
120069.491,2.2364
120076.983,1.5722
