time,signal
0.0,0.0
14.67,-0.811
68.955,-0.30007
70.51,-0.29164441731954494
85.18,-0.879619417319545
113.10000000000001,-0.5274863362658717
141.02,-0.3163207058287501
155.69,-0.8840207058287501
174.30333333333334,-0.6286467988826494
211.53000000000003,-0.31790345702816114
226.20000000000002,-0.8572234024356028
240.16000000000003,-0.6638228877270154
282.04,-0.30826685538348847
296.71000000000004,-0.8136602815446177
307.87800000000004,-0.6631468015342183
352.55,-0.2926010834859888
367.22,-0.7582568440292441
376.5266666666667,-0.6394233250036266
423.06000000000006,-0.2726774050005745
437.7300000000001,-0.6925196718365876
445.7071428571429,-0.5983835684234028
493.57000000000005,-0.24903760317522078
508.24000000000007,-0.6167258664968154
515.22,-0.5427143006592264
564.08,-0.22178132673286705
578.75,-0.5307103950150597
584.9544444444444,-0.4737025085582596
634.59,-0.19084922801429421
649.26,-0.43414922801429423
654.844,-0.3919424603008104
705.1,-0.15612478253262527
