time,signal
0.0,0.0
0.603,-176.112
3.982,-65.16144
6.0,-35.98428867610125
6.603,-180.92446467610122
9.3015,-81.78229294867506
12.0,-36.967601103127045
12.603,-172.04550510312703
14.402,-101.33309831329838
18.0,-35.153397389482684
18.603,-149.80230938948267
19.95225,-100.71623949016697
24.0,-30.6085306249306
24.603,-159.6986266249306
25.6824,-116.242776826975
30.0,-32.63060712301497
30.603,-123.32828712301497
31.5025,-94.64914501154013
36.0,-25.19919531754606
36.603,-126.11137131754604
37.374,-100.51458906412724
42.0,-25.76785222375291
42.603,-114.52830022375291
43.277625,-93.90815579665794
48.0,-23.401127787060034
48.603,-111.80935178706004
49.202666666666666,-93.7232758911621
54.0,-22.84557549396592
54.603,-111.25379949396593
55.142700000000005,-94.91770939687272
2054.0,-2.792519509696911e-254
2054.603,-143.84758389649465
2055.1427,-122.72554490573648
