x,B
-6268.8,156.4
-6266.1,62.74
-6243.5,145.71
-6211.8,151.47
-6206.7,108.94
-6183.9,146.51
-4854.9,160.25
-4849.7,90.11
-4834.9,144.24
-4821.8,159.12
-4808,122.67
-4797.6,153.43
-3752.4,163.49
-3737,68.18
-3709.2,151.68
-3537.6,165.19
