x,Gabazine
-868.75,9.668
-866.23,0.37
-851.4,5.928
-813.98,8.461
-811.79,3.856
-797.98,6.717
-758.69,9.112
-754.57,5.247
-735.13,7.229
-710.04,8.62
-702.12,5.383
-693.09,7.026
-657.12,8.857
-647.77,6.221
-643.47,7.426
-601.37,8.98
-594.82,7.223
-587.22,8.277
-558.37,9.003
-542.89,6.067
-528.67,7.421
-495.07,8.951
-489,6.918
-479.06,7.432
-445.47,8.723
-439.86,7.117
-422.82,7.869
-388.78,8.62
-386.97,6.412
-371.8,7.766
-320.74,8.868
