x,A-[Ca]o=1.0
-0.063,0
14.226,-25.5
27.605,-11.17013794
49.775,-1.139932007
59.597,-44.85393302
78.615,-23.83494197
100.155,-6.639306788
109.217,-57.04144035
126.896,-30.05076003
150.085,-10.46664843
157.302,-84.51639248
177.426,-44.38859365
199.986,-17.39890977
208.318,-121.7853933
225.259,-74.01387206
240.855,-46.06760189
