x,e
-232.815,17.933
-225.397,16.5019
-209.977,17.1604
-182.845,17.8654
-175.037,17.0084
-160.787,17.4222
-132.093,17.9161
-124.676,17.0591
-109.646,17.439
-81.928,17.8654
-74.51,17.0844
-58.114,17.4855
-39.57,17.781
