time,signal
0.0,0.0
18.91,256.8
78.546,95.016
200.0,12.542995917185134
218.91,176.89499591718513
278.28377049180335,65.73792039964742
400.0,8.640160481151613
418.91,165.2881604811516
463.62358024691366,78.43144311882095
600.0,8.073242687204539
618.91,126.20124268720456
654.7694059405941,69.40988213332139
800.0,6.1641030832137735
818.91,97.35233497533697
848.8422314049586,59.10444378615973
1000.0,4.755023131324342
1018.91,75.1472555877414
1044.596524822695,48.96978498469713
1200.0,3.6704506231491747
1218.91,58.00933062314918
1241.405652173913,39.86728349136769
1400.0,2.833375378367612
1418.91,44.779962048744295
1438.9199447513813,32.07749420238312
1600.0,2.187207481110222
1618.91,34.56763441106207
1636.9289054726369,25.59779882274044
1800.0,1.6884022479933798
1818.91,26.684287047993386
1835.2982352941178,20.304651364883036
3800.0,1.1315129763104975e-13
3818.91,171.03247737600012
3835.298235294118,130.14231255067565
