x,red
-92.489,2.2046
-89.123,2.167
-83.799,2.1596
-79.572,2.1532
-75.663,2.1385
-68.663,2.1326
-61.428,2.1335
-25.295,1.7841
-21.122,1.795
-16.592,1.8141
-2.394,1.3712
5.564,1.4237
19.825,1.5656
33.466,1.0743
48.334,1.2593
94.829,1.8103
