x,Gabazine
-560.03,-51.169
-555.34,-67.378
-534.57,-57.834
-507.5,-53.595
-500.99,-63.909
-484.19,-56.626
-455.64,-52.979
-449.22,-60.56
-431.74,-54.97
-402.7,-53.254
-393.56,-56.725
-379.99,-53.722
-353.08,-52.224
-338.22,-59.799
-317.41,-54.545
-289.37,-52.287
-282.03,-56.071
-263.9,-52.934
-235.9,-51.541
-223.22,-56.431
-211.77,-53.351
-184.84,-51.858
-175.92,-54.427
-157.59,-52.535
-135.73,-51.346
-126.4,-55.371
-111.07,-51.901
-79.49,-50.288
-66.95,-53.536
-51.41,-51.317
-30.78,-49.784
