x,Red
-145.944,-5.7215
-140.194,-3.8023
-138.358,-3.7655
-136.023,-3.7655
-128.191,0.0914
-126.025,0.0363
-124.861,-0.028
-119.851,4.132
-110.109,1.8087
-105.323,0.5965
-104.821,0.6332
-98.033,-0.5606
-92.225,-1.2585
-91.057,-1.2218
-67.79,-3.1594
-12.294,-4.6683
