x,A-RMP=-70-Stim=40-µs
-412.97,12.593
-409.589,13.406
-408.877,13.405
-408.165,13.405
-406.386,13.971
-405.318,13.97
-404.784,13.934
-400.869,14.604
-392.683,14.349
-389.836,13.956
-388.234,14.025
-374.353,13.091
-349.261,12.572
