x,D
-481.515,-1.2883
-476.738,-1.40449
-475.089,-1.41595
-473.201,-1.4198
-469.046,-1.50781
-465.789,-1.50909
-462.617,-1.50501
-455.953,-1.57022
-453.695,-1.57203
-451.346,-1.56131
-445.625,-1.59347
-442.842,-1.5862
-440.838,-1.56936
-434.389,-1.62897
-431.042,-1.6241
-428.607,-1.61658
-420.568,-1.72015
-417.351,-1.71315
-414.349,-1.70028
-407.302,-1.78548
-403.129,-1.77846
-399.908,-1.76025
-392.543,-1.80757
-380.817,-1.75931
-354.212,-1.52456
