x,Red
-163.964,-8.2863
-156.882,-4.897
-155.237,-4.9316
-153.827,-4.9777
-149.074,0.5789
-146.728,0.1869
-144.146,-0.1359
-139.188,2.2043
-87.306,-3.26
4.078,-6.4994
