x,-67 mV
-76.817,4.3059
-75.205,6.03674
-71.906,5.17844
-56.475,4.29834
-55.302,5.30688
-48.654,4.7123
-32.123,4.33196
-30.846,5.07249
-24.857,4.62777
-17.945,4.42841
