x,Curve1
-357.17,1307.4
-356.43,839.65
-349,1207.61
-336.66,1268.7
-336.02,534.71
-326.67,1150.44
-315.22,1276.23
-314.66,318.53
-307.54,1071.05
-294.25,1228.29
-294.07,501.69
-285.62,1137.75
-272.35,1246.91
-271.05,1074.97
-267.34,1221.05
-252.72,1280.31
-251.1,736.75
-242.73,1180.53
-231.75,1263.8
-231.02,757.21
-223.11,1180.65
-212.13,1265.77
-211.03,555.81
-202.15,1121.61
-191.16,1245.56
-189.23,295.26
-180.25,1132.84
-170.63,1241.98
-168.62,511.7
-158.38,1066.42
-149.67,1195.89
-147.07,816.89
-139.19,1166.37
-127.75,1251.49
-124.68,931.65
-118.2,1166.5
-108.59,1262.7
-105.1,837.48
-97.21,1188.81
-85.78,1277.63
-83.17,917.12
-76.73,1081.71
-66.66,1163.12
-64.07,758.23
-57.09,1146.54
-46.09,1288.96
-44.08,553.13
-37.97,1028.32
-24.68,1200.35
-21.73,529.23
-11.48,1119.08
-2.32,1230.07
-0.16,904.68
4,1050.77
16.84,1232.03
22.16,810.52
28.2,1117.47
35.55,1250.64
39.05,832.82
44.16,1099.08
59.27,1241.54
61.79,675.8
71.09,1134.38
80.26,1262
80.6,966.19
86.61,1165.9
95.77,1258.4
97.52,1079.07
100.76,1208.51
120.4,1277.04
123.9,861.07
131.77,1188.36
141.85,1297.51
146.17,652.28
153.16,1046.13
177.43,1295.87
