x,A3
-6.614,-1106.09
-5.614,-1264.73
-1.714,-1187.03
31.149,-1106.82
32.472,-1446.7
36.5,-1273.58
69.397,-1119.28
70.323,-1530.5
74.352,-1372.55
78.645,-1258.6
