x,c
-235.548,3.9807
-228.325,3.681
-211.929,3.7908
-184.797,3.9554
-179.136,3.7655
-160.592,3.8583
-134.045,3.8837
-127.604,3.7148
-109.451,3.8372
-82.709,3.9301
-74.706,3.7823
-61.042,3.8583
-41.132,3.909
