x,-82 mV
-77.333,0.9505
-75.917,2.32705
-71.781,1.76934
-57.589,1.11795
-56.034,1.92505
-51.605,1.41315
-32.483,0.93096
-31.221,1.71515
-26.15,1.31203
-20.672,1.01483
