x,Black
-80.307,-4.4672
-73.909,-2.8275
-72.104,-2.8651
-70.204,-2.8878
-64.732,0.0404
-62.072,-0.0124
-60.268,-0.1025
-54,4.9455
-31.395,-0.6502
-14.264,-3.3245
