x,Curve 2
-2248.25,0.807
-2244.74,1.4981
-2235.09,1.2562
-2225.44,1.1189
-2221.93,2.1752
-2212.28,1.5642
-2200.55,1.3092
-2198.25,2.0067
-2188.6,1.5969
-2176.74,1.3355
-2172.81,2.0058
-2165.79,1.6431
-2155.26,1.5086
-2148.25,2.0855
-2140.35,1.7295
-2129.27,1.4793
-2126.32,1.9573
-2117.54,1.7422
-2108.35,1.5234
-2102.63,2.2115
-2097.37,1.7885
-2083.66,1.6297
-2078.95,2.4456
-2071.05,1.9957
-2061.73,1.7373
-2055.26,2.1764
-2050,1.8809
-2038.73,1.522
-2031.58,2.1823
-2021.9,1.6271
-1992.11,1.2011
