x,A
-518.177,-3.2944
-516.974,-4.3843
-514.505,-4.1759
-512.225,-4.0389
-511.367,-5.0647
-509.545,-4.6702
-507.812,-4.4243
-506.025,-5.3091
-503.645,-5.1036
-501.444,-4.9125
-499.663,-5.823
-497.395,-5.5727
-495.079,-5.4135
-493.619,-6.1445
-490.831,-5.9095
-488.313,-5.7223
-485.586,-6.4178
-482.313,-6.1195
-478.601,-5.8618
-475.792,-6.4278
-472.72,-6.0929
-470.499,-5.8505
-469.04,-6.4028
-466.255,-5.8931
-459.492,-5.4871
-457.397,-5.7785
-454.099,-5.2879
-448.61,-5.0882
-447.531,-5.4245
-443.994,-5.1479
-439.599,-5.1291
-437.21,-5.5026
-432.249,-5.0646
-412.302,-4.2858
