x,black
-255.908,47.91
-254.262,235.79
-249.825,135.26
-229.197,61.51
-228.968,126.26
-224.96,85.26
-208.321,45.57
-208.283,81.41
-207.323,74.48
-205.965,69.3
-204.012,142.73
-201.65,113.85
-190.184,48.67
-189.588,77
-188.504,73.54
-187.418,69.51
-187.226,148.13
-186.68,145.24
-186.136,142.94
-185.41,222.71
-181.537,132.01
-148.931,52.61
-148.506,144.53
-147.96,141.07
-147.413,137.6
-146.932,308.71
-143.812,198.34
-124.115,70.82
-123.584,123.43
-122.348,113.62
-120.71,104.39
-120.161,150.06
-116.53,99.23
-111.479,70.39
-111.28,96.4
-109.243,88.33
-103.179,82.62
-103.102,304.01
-99.346,156.66
-98.11,146.84
-97.842,197.14
-94.428,127.23
-84.077,80.04
