x,Curve 3
-604.39,-7.2012
-598.68,-8.0638
-590.79,-7.8963
-584.65,-7.6784
-575.88,-8.4303
-568.86,-8.2091
-561.4,-7.9107
-553.51,-8.5217
-546.49,-8.1964
-537.72,-7.8175
-530.7,-8.4654
-521.49,-8.1067
-513.16,-7.6942
-507.46,-8.3454
-498.68,-8.0571
-492.11,-7.6345
-484.21,-8.2522
-476.75,-7.927
-468.42,-7.5447
-460.96,-8.1892
-455.26,-7.9176
-446.05,-7.4582
-439.47,-8.0792
-431.58,-7.8043
-421.49,-7.4322
-417.54,-7.9558
-407.02,-7.7078
-399.56,-7.4027
-392.11,-7.8929
-385.53,-7.6582
-365.35,-7.0616
