time,signal
0.0,0.0
4.73,-1645.1
10.23,-608.687
100.0,-5.4533211635097625e-05
104.73,-1015.0267545332115
110.25289855072461,-374.00850357993085
200.0,-3.364699338656976e-05
204.73,-1120.3131336469935
209.9502739726027,-436.0156721341568
300.0,-3.713711823886141e-05
304.73,-1166.375937137118
309.6790909090909,-476.7508484936326
400.0,-3.866404828033784e-05
404.73,-1131.8288386640481
409.4346913580247,-483.5275107058032
500.0,-3.7518850886616803e-05
504.73,-1005.1561375188508
509.2132941176471,-446.9465494212302
600.0,-3.331979355275228e-05
604.73,-1044.6385333197936
609.011797752809,-481.7340393637196
700.0,-3.462859049280061e-05
704.73,-996.9306346285904
708.8276344086022,-475.2965629857437
800.0,-3.3047127398767924e-05
804.73,-962.3835330471273
808.6586597938144,-473.057471294974
900.0,-3.1901929902007154e-05
904.73,-985.4149319019298
908.5030693069307,-498.19582109565044
2900.0,-2.225413700104589e-154
2904.73,-1402.415414062873
2908.5030693069307,-709.0185830427249
