x,black
-218.878,82.93
-217.604,-95.67
-216.887,-10.44
-213.901,60.45
-212.132,16.45
-210.706,40.58
-206.824,62.43
-205.386,-6.8
-203.727,33.76
-192.779,89.91
-191.894,52.4
-190.899,77.96
-187.057,86.99
-186.726,7.26
-184.899,60.32
-165.353,92.37
-164.468,-31.07
-162.92,48.02
-151.972,68.69
-151.64,3.25
-150.645,38.7
-148.876,51.3
-148.514,35.4
-148.075,40.81
-147.636,45.14
-147.106,4.91
-144.673,40.34
-140.581,72.7
-140.526,39.66
-140.087,42.9
-139.736,43.98
-139.144,0.06
-137.264,62.43
-129.375,82.12
-128.469,61.71
-127.145,68.14
-125.752,72.42
-124.916,56.73
-124.219,61.23
-123.314,64.88
-122.334,2.28
-119.791,34.31
-117.69,67.7
-115.892,56.61
-113.647,72.35
-106.925,92.23
-105.304,52.58
-104.309,76.43
-84.956,85.11
-84.403,49.31
-82.08,67.7
-77.546,82.31
-75.666,7.96
-74.229,51.93
-68.589,75.75
-67.925,0.05
-67.372,13.34
-66.377,29.7
-65.603,-12.25
-64.607,2.4
-61.4,35.78
-60.294,-11.96
-59.41,11.9
-58.083,25.52
-55.981,-39.28
-53.991,15.26
