x,C
-412.84,27.091
-408.78,-4.526
-400.84,18.76
-366.89,27.126
-361.49,4.771
-353.75,19.968
-310.13,27.126
-304.73,8.624
-298.53,20.676
-254.05,26.972
-250.68,17.033
-243.24,22.049
-202.7,26.972
-197.3,13.394
-190.7,22.858
-146.62,27.125
-142.57,17.309
-135.95,22.697
-95.27,26.942
-90.54,14.618
-80.03,22.768
-38.51,27.064
-36.48,15.78
-29.31,22.813
6.08,26.972
14.87,17.859
24.74,22.397
62.84,27.003
70.27,18.777
79.17,23.717
159.92,26.381
