x,Black
-145.944,-5.7215
-138.249,-3.3272
-136.654,-3.1814
-135.325,-3.0502
-129.795,2.6058
-128.208,2.5621
-126.888,2.4746
-119.549,7.0811
-108.024,4.1073
-103.052,2.7224
-101.465,2.6933
-92.026,0.5067
-81.767,-1.0531
-80.971,-1.0094
-54.442,-3.0217
-14.139,-4.3257
