x,Curve1
127.73,166.94
132.54,107.18
139.41,119.87
147.39,128.06
148.59,74.01
158.06,81.34
164.81,83.76
167.56,32.48
175.13,48.98
181.99,70.15
186.79,46.4
192.98,61.21
199.85,87.03
203.97,78.12
208.09,87.43
217.71,104.35
222.51,75.09
229.37,89.48
234.87,102.17
240.36,85.2
246.53,93.66
252.03,102.11
255.68,48.82
261.3,54.94
264.76,63.2
269.88,33.83
281.57,54.98
290.49,68.93
295.31,31.2
300.1,52.8
307.67,69.3
309.72,21.83
315.91,31.56
325.53,36.61
332.75,-31.17
338.13,-9.93
344.76,15.78
347.07,-31.52
356.42,-2.06
362.62,46.65
370.16,39
372.23,46.62
379.1,63.97
385.97,5.47
390.76,24.52
397.63,36.79
405.18,14.73
409.3,31.24
418.24,55.79
422.68,34.28
427.15,57.45
436.09,75.64
442.26,39.18
451.2,60.33
457.37,75.14
461.84,60.82
465.62,72.15
475.93,79.32
479.35,52.19
484.85,63.19
494.46,79.68
498.58,41.11
504.08,55.92
513.69,69.02
516.29,16.09
523.31,54.58
530.87,65.15
536.37,39.71
543.24,54.09
550.1,70.17
552.15,46.86
558.67,61.65
567.26,66.3
571.38,19.67
581,44.22
585.12,65.39
591.29,50.54
595.41,62.81
606.4,78.03
609.85,36.49
617.39,52.57
627.01,70.76
627.7,36.85
633.87,55.48
645.56,69.42
649.57,-8.74
658.6,33.36
666.84,63.42
670.29,39.25
679.48,55.92
688.14,74.79
690.19,43.42
697.76,62.46
707.37,78.53
711.49,-10.89
718.36,33.16
727.98,61.51
731.4,20.83
738.97,44.95
745.14,70.36
749.26,58.48
750.63,66.1
756.13,72.86
760.25,39.8
764.37,60.12
779.36,67.43
782.85,44.1
793.89,60.44
804.88,94.31
809,73.95
818.62,84.51
824.81,94.24
828.8,61.66
835.88,62.31
843.07,64.19
844.66,13.4
846.66,27.33
849.69,35.33
853.58,-3.12
859.32,29.95
870.23,59.84
872.95,19.14
879.49,34.59
885.49,41.63
886.72,-15.37
901.3,21.06
911.11,53.31
923,-11.06
932.37,38.11
951.99,80.42
958.53,52.82
965.07,64.9
974.34,81.35
980.33,58.46
989.6,68.52
996.14,81.61
1002.14,57.38
1009.22,66.77
1015.76,83.56
1021.21,64.37
1027.76,77.8
1039.2,95.59
1044.11,38.06
1051.74,64.94
1064.28,86.43
1066.44,42.71
1074.09,53.77
1080.63,73.25
1085.74,31.21
1091.53,54.38
1099.16,77.23
1108.97,30.78
1123.15,68.4
1143.45,104
