x,B
342.766,-1.7092
343.619,-2.3892
345.298,-2.2279
347.109,-2.0864
348.876,-2.9473
350.211,-2.8183
351.54,-2.7179
353.66,-3.368
355.66,-3.2835
357.286,-3.2073
359.415,-3.7364
361.412,-3.6641
362.777,-3.5541
366.009,-4.1332
368.183,-4.0326
369.695,-3.9012
372.17,-4.2069
374.844,-4.1427
377.224,-4.0652
381.142,-4.6121
383.657,-4.5197
385.328,-4.209
389.47,-4.5893
391.931,-4.4847
394.422,-4.3936
398.288,-4.6795
402.336,-4.5711
405.993,-4.3446
411.908,-4.5525
415.494,-4.4683
417.851,-4.2855
420.181,-4.5458
422.53,-4.429
423.975,-4.3475
427.312,-4.5711
440.763,-4.1695
520.562,-3.4151
