x,Black
-163.939,-8.2851
-157.582,-4.4128
-156.406,-4.3436
-155.231,-4.3436
-149.78,0.5097
-147.901,0.3483
-144.849,0.1062
-137.292,3.9105
-62.385,-2.0957
4.32,-5.6924
