x,Black
-57.072,-4.3647
-51.803,-1.6897
-51.084,-1.7841
-50.486,-1.8392
-47.851,-1.43
-43.181,-1.9336
-38.87,-2.2011
-35.877,-2.2719
-32.524,-2.4214
-29.769,-2.5079
-26.776,-2.4292
-23.902,-2.5472
-21.028,-2.6338
-19.351,-2.563
-8.454,-2.9564
15.495,-3.334
