x,D
-274.4,1.356
-262.18,1.3273
-257.35,1.3361
-253.38,1.3427
-234.11,1.2543
-228.59,1.2565
-224.62,1.272
-202.59,1.1813
-195.35,1.1813
-190.34,1.2056
-180.36,1.1768
-149.64,1.2321
-125.12,1.314
