x,RSBC
-388.21,1124.99
-384.88,1007.58
-375.75,1060.2
-354.17,1111.24
-350.85,972.77
-339.23,1043.43
-322.62,1103.53
-320.13,918.41
-308.51,1001.11
-291.9,1065.72
-288.58,916.72
-275.3,1000.91
-257.86,1073.05
-253.71,918.02
-242.09,1003.73
-226.32,1078.88
-220.5,940.39
-209.71,1011.06
-193.11,1077.18
-191.45,961.29
-183.14,1016.92
-160.73,1075.48
-158.24,923.47
-145.79,992.62
-127.52,1063.24
-124.2,929.29
-115.9,1007.5
-95.97,1063.06
-90.99,1004.34
-80.2,1043.4
-61.93,1070.38
