x,D
-232.12,11.0854
-224.02,7.9123
-202.26,9.5953
-180.06,10.7709
-174.04,8.6904
-157.31,9.8258
-129.64,11.0156
-121.78,9.0265
-100.78,10.2149
-79.31,10.9871
-71.4,9.1541
-50.42,10.2905
-28.37,10.9977
