x,10HZ
0,0
8.98,1.181
52.8,0.7086
99.65,0.2873
108.39,1.0853
153.42,0.5362
200.29,0.1085
208.26,0.7788
248.87,0.3447
304.87,0.0383
309.41,0.3575
349.59,0.1277
399.02,-0.0383
409.29,0.5362
450.32,0.3958
496.47,0.3
507.75,0.8874
557.57,0.5426
596.7,0.3128
605.92,0.8874
649.42,0.5682
697,0.2936
708.4,0.8235
752.94,0.5043
798.38,0.2553
806.8,0.715
854.68,0.3
894.84,0.0766
909.45,0.5745
946.71,0.2426
60000,0
60007.57,0.7722
60029.05,0.5711
60049.76,0.4223
60055.62,1.6851
60077.99,1.3754
60097.22,0.9974
60103.76,1.6328
60125.47,1.3232
60144.96,1.1301
60154.27,1.7052
60173.99,1.4036
60194.96,1.1301
60206.23,1.7092
60229.34,1.3594
60251.05,1.0537
60257.56,1.3956
60276.03,1.0617
60296.14,0.8848
60303.3,1.5403
60326.92,1.2628
60343.86,1.0296
60354.91,1.4036
60373.25,1.1341
60396.07,0.921
60402.34,1.3754
60425.33,1.0819
60447.51,0.8607
60456.49,1.2789
60486.22,0.9129
120000,0
120007.93,1.2186
120016.5,1.2105
120024.95,1.2588
120029.49,1.9063
120039.43,1.8741
120045.31,1.8942
120054.23,2.3366
120063.87,2.1355
120075.13,2.0993
120079.74,2.409
120089.82,2.3084
120096.58,2.224
120106.82,2.3567
120112.92,2.2722
120119.07,2.1637
120128.07,2.2642
120136.86,2.1516
120150.25,2.043
120157.73,2.2401
120163.97,2.0913
120170.7,2.0189
120185.16,2.0229
120188.53,1.9867
120195.22,1.9344
120200.18,2.0752
120212.22,1.9827
120222.91,1.9063
120230.9,2.1717
120245.69,2.0229
120311.19,1.2346
