x,-70 mV
-76.748,2.51872
-75.574,4.06982
-71.96,3.34895
-57.651,2.68326
-56.042,3.63345
-50.611,3.03291
-32.023,2.69949
-29.823,3.55529
-25.398,3.12637
-18.859,2.77202
