x,red
-255.558,63.1
-255.473,229.64
-252.769,169.17
-228.861,86.37
-228.025,175.4
-223.411,108.98
-209.211,76.77
-208.323,96.44
-206.965,91.25
-205.474,86.64
-204.404,188.39
-198.401,105.22
-190.557,90.46
-189.835,118.62
-189.213,116.17
-188.508,113.22
-188.324,156.78
-187.51,153.9
-186.694,150.44
-186.399,289.63
-180.258,148.39
-149.101,106.08
-148.935,153.77
-148.117,149.73
-147.302,146.28
-146.057,243.76
-142.532,162.59
-126.241,111.84
-126.125,168.49
-124.334,152.32
-121.191,133.28
-120.832,199.76
-118.561,154.7
-112.996,134.53
-112.797,160.55
-109.336,123.01
-103.422,98.81
-103.326,221.77
-101.099,186.93
-97.975,146.85
-97.576,198.3
-95.232,176.36
