x,B
-314.47,0.4429
-310.122,1.6193
-302.483,1.1971
-296.523,0.7801
-293.177,3.1403
-276.373,1.5283
-263.165,0.6825
-260.222,3.4774
-251.676,2.1329
-242.673,0.9322
