x,B
-1325.16,130.04
-1309.76,28.87
-1305.47,120.8
-1213.76,130.62
-1206.79,54.83
-1194.58,124.18
-1108.48,131.34
-1098.97,60.56
-1096.57,124.48
-1003.21,129.86
-996.24,54.74
-985.42,123.71
-897.88,130.82
-890.87,67.7
-880.12,126.66
-787.31,130.54
-785.66,58.27
-774.87,123.44
-691.52,131.13
-678.89,71.85
-666.79,125.61
-578.44,131.18
-575.03,68.29
-560.41,124.7
-479.81,131.86
-469.15,72.01
-456.51,125.58
-371.73,132.49
-361.69,67.49
-354.03,125.68
-281.94,128.57
