x,Vss=-55 mV-Right
-143.181,7.4986
-140.16,5.8134
-135.237,6.3223
-124.271,6.9896
-121.474,5.9265
-114.984,6.5485
-103.011,7.2102
-100.773,6.3506
-95.179,6.7747
-79.066,7.2158
-76.045,6.4694
-66.422,6.9331
-50.533,7.442
-47.736,6.5033
-43.484,6.8652
-36.77,7.1593
