x,Bb
-356.117,-1.55788
-351.633,-1.66643
-348.818,-1.68109
-345.405,-1.71177
-341.138,-1.75929
-336.829,-1.75587
-331.906,-1.75909
-326.626,-1.84677
-322.244,-1.84335
-316.734,-1.82775
-307.387,-1.90542
-304.741,-1.88783
-300.628,-1.88362
-291.773,-1.9235
-288.683,-1.92741
-283.201,-1.93227
-277.288,-1.97238
-270.816,-1.97433
-266.041,-1.98337
-258.705,-2.02761
-255.48,-2.00708
-248.439,-1.99408
-240.82,-2.05888
-230.779,-2.02284
-179.607,-1.76438
