x,Control
-760.91,-123.475
-742.21,21.638
-613.45,-103.241
-549.28,-109.445
-529.54,-54.456
-452.97,-108.94
-353.36,-119.952
-321.07,-42.816
-242.47,-103.952
-136.57,-123.558
-118.2,-66.649
-62.06,-102.312
-13.03,-115.578
