x,Black
-81.325,-1.25579
-73.613,-0.15587
-71.941,-0.18803
-71.474,-0.27486
-65.686,1.52563
-62.441,1.11347
-61.014,0.69538
-57.027,3.38124
-47.466,1.27515
-41.374,0.07028
