x,Curve1
-592.91,15.722
-588.44,-1.262
-570.27,11.449
-545.09,14.943
-538.97,3.966
-518.45,12.222
-496.53,15.205
-489.6,-1.469
-469.93,8.711
-446.82,11.299
-442.2,-1.206
-427.75,7.633
-397.69,11.248
-394.22,2.181
-379.22,9.884
-349.13,13.489
-343.93,1.087
-331.46,8.903
-300.58,13.542
-295.95,-2.504
-278.2,10.165
-249.71,12.76
-245.09,1.922
-228.58,11.281
-203.47,13.545
-197.69,-3.264
-181.9,8.758
-154.34,13.911
-149.53,2.569
-135.21,9.142
-90.89,13.46
