x,A3
88.197,176.603
91.892,182.543
97.804,181.463
104.454,179.843
109.997,188.662
113.691,187.762
116.647,186.323
120.559,195.285
134.107,182.625
146.575,180.023
151.009,185.243
160.246,182.003
166.527,181.283
