x,B
-855.18,4.888
-848.1,14.506
-824.82,9.3
-801.52,5.082
-795.84,14.969
-778.11,9.609
-748.15,5.047
-742.48,13.526
-716.97,8.527
-689.99,5.248
-688.02,11.671
-675.83,8.063
-641.4,5.24
-634.65,11.362
-611.35,7.548
-587.78,5.161
-579.07,10.434
-559.1,6.878
-533.55,4.867
-525.69,11.156
-511.28,7.032
-479.06,5.132
-471.2,11.31
-453.46,7.187
-427.67,4.903
-417.84,10.434
-400.09,7.239
-372.6,5.158
-365.58,10.073
-334.81,6.61
-273.36,4.868
