time,signal
0.0,0.0
3.353,-66.253
14.863999999999999,-24.51361
40.0,-2.7958301580643727
43.353,-78.39050315806438
54.80518750000002,-29.152200251843624
80.0,-3.308024283204637
83.353,-163.11026028320464
92.0784761904762,-76.76672333169273
120.0,-6.883138647148249
123.353,-215.44758264714827
130.4005,-117.21339579269322
160.0,-9.091736963563363
163.353,-234.21943096356338
169.2638064516129,-140.5717203070926
200.0,-9.883895803852004
203.353,-230.4960122963531
208.4428611111111,-148.50243951405102
240.0,-9.726770146132559
243.353,-218.9279238636358
247.82214634146342,-148.81799729607093
280.0,-9.238604923254401
283.353,-203.3370652195093
287.3363695652174,-144.14288403346956
320.0,-8.580681617330631
323.353,-187.088372467335
326.9458431372549,-137.17431513128753
360.0,-7.894998173174882
363.353,-173.52749817317488
366.62505357142857,-130.80601091998355
400.0,-7.322738783844092
