time,signal
0.0,0.0
0.08,-1792.51
3.981,-663.2287
20.0,-11.18237933894575
20.08,-1629.8189093389458
23.985882352941182,-602.2830664923011
40.0,-10.167448604479153
40.08,-1566.0661286044792
43.34557377049181,-681.3128716630928
60.0,-9.769733792240762
60.08,-1596.1410837922408
62.885633802816905,-780.7610258744917
80.0,-9.957353140256307
80.08,-1388.3975431402564
82.53925925925927,-741.823490222264
100.0,-8.661367579904518
100.08,-1078.7898375799043
102.269010989011,-617.5002475793185
120.0,-6.729913468163728
120.08,-644.8634734681638
122.05227722772277,-390.08400059245463
140.0,-4.022910880358372
140.08,-848.2951208803584
141.8745945945946,-536.9141677485061
160.0,-5.291997162114023
160.08,-555.592567162114
161.72628099173556,-365.2002152455093
180.0,-3.4660040077352168
180.08,-503.5762940077352
181.6006106870229,-341.7828062163698
2180.0,-2.13634444238063e-219
2180.08,-1317.0627169150657
2181.6006106870227,-893.9050481659209
