x,Curve1
-1043.26,3895.75
-1035.3,3182.22
-1025.05,3755.97
-938.34,3890.79
-930.08,3460.32
-920.95,3809.19
-835.18,3889.73
-825.98,3513.53
-816.91,3808.12
-734.63,3896.46
-730.58,3601.73
-716.37,3803.21
-628.84,3891.49
-625.66,3608.41
-614.05,3821.55
-528.3,3886.58
-525.07,3646.15
-510.89,3820.49
-425.13,3889.4
-420.15,3652.83
-410.35,3811.7
-323.71,3888.36
-318.75,3632.41
-309.82,3802.92
-222.29,3891.2
-216.44,3646.87
-206.63,3821.25
-119.99,3894.03
-115.04,3630.32
-101.72,3816.29
-37.83,3877.68
