x,Red
-79.57,-4.3088
-73.662,-3.5261
-72.138,-3.6223
-69.852,-3.7183
-66.993,-1.4525
-64.136,-3.3202
-60.325,-4.7345
-56.705,-1.6997
-53.847,-3.5811
-49.845,-5.2427
-49.274,-4.9406
-46.797,-5.5036
-43.748,-5.998
