x,Red
-80.302,-4.4664
-75.92,-3.9913
-73.051,-3.8727
-70.484,-3.7541
-63.645,-1.0557
-61.232,-1.1155
-60.178,-1.2226
-54.515,3.2238
-44.911,0.2857
-34.551,-2.4385
