x,Black
-79.366,-4.3052
-77.551,-2.376
-73.619,-2.812
-71.199,-3.2479
-67.57,-1.9291
-64.696,-2.3542
-60.31,-2.7248
-55.622,3.3351
-50.329,1.7003
-46.699,0.545
-43.372,1.2207
-28.266,-2.44
-11.127,-3.4905
