x,row1-2 
-202.44,181.425
-196.96,174.55
-190.41,176.297
-183.88,177.843
-178.27,167.905
-172.27,171.295
-162.54,175.216
-157.6,169.64
-151.59,173.03
-142.92,177.327
-136.92,175.54
-128.92,178.485
-117.58,180.311
