x,Curve1
-1036.057,1206.56
-1029.823,809.1
-1012.337,1172.1
-931.557,1203.11
-927.311,1077.9
-914.387,1183.59
-831.962,1205.41
-826.907,1084.8
-813.168,1191.63
-731.552,1207.71
-726.511,1098.58
-715.194,1184.74
-628.69,1208.86
-624.466,1099.73
-613.967,1187.03
-528.274,1206.56
-523.226,1091.69
-511.103,1185.88
-427.862,1207.71
-422.834,1108.92
-410.691,1187.03
-327.45,1208.86
-321.615,1116.96
-308.646,1188.18
-227.851,1207.71
-219.567,1115.81
-200.891,1192.78
-124.17,1206.56
-119.146,1110.07
-104.719,1196.01
-29.571,1206.95
