x,B
-479.083,2.14424
-476.935,1.99373
-474.931,2.01201
-472.227,2.04463
-468.756,2.01168
-466.68,2.01656
-459.68,2.03897
-457.92,1.95396
-456.19,1.96402
-452.529,1.98832
-450.5,1.88675
-448.908,1.89368
-440.553,1.93438
-436.458,1.82355
-434.661,1.83601
-426.785,1.87738
-425.948,1.83709
-422.869,1.84832
-416.419,1.87463
-413.306,1.7853
-410.544,1.7963
-401.259,1.8233
-398.716,1.72951
-395.118,1.74907
-388.136,1.78897
-385.184,1.76366
-381.865,1.78829
-374.543,1.82402
-372.624,1.79274
-346.804,1.8528
-301.518,1.9449
