x,black
-93.491,2.1993
-84.941,2.1575
-81.516,2.1554
-76.273,2.1579
-68.771,2.1243
-64.549,2.1306
-58.604,2.1196
-50.633,1.99
-49.395,1.9915
-48.098,1.9909
-41.658,1.9007
-39.294,1.8493
-36.39,1.8129
-28.825,1.6522
-25.38,1.5719
-21.935,1.5053
-3.904,1.078
-2.866,1.078
-1.498,1.083
17.363,0.8895
21.112,0.8984
25.226,0.9256
29.385,0.9117
41.178,0.959
48.384,1.0145
51.944,1.0178
62.937,1.1067
72.421,1.1488
75.448,1.1493
103.627,1.333
146.558,1.5867
