x,a
-1040.28,128.13
-1034.73,-72.81
-1018.06,100
-936.83,128.44
-934.63,86.54
-915.3,115.99
-829.9,130.18
-823.09,80.44
-816.69,116.27
-734.55,132.27
-731.79,89.96
-706.99,123.03
-628.72,130.53
-625.96,85.78
-608.46,112.4
-527.3,132.27
-524.54,89.96
-499.74,121.99
-423.13,132.62
-419.82,83
-398.32,121.64
-317.3,130.18
-315.09,90.66
-293.05,123.38
-214.23,132.62
-213.12,90.31
-189.42,123.73
-115.01,132.97
-111.71,94.83
-90.21,119.55
-44.99,131.74
