x,3.5 mM Ca2+
-691.34,-58.01
-678.38,0.972
-640.15,-33.853
-472.28,-57.59
-456.49,-29.415
-384.33,-48.754
-254.45,-50.051
-238.15,-27.584
-164.15,-44.215
-42.4,-50.267
-24.22,-26.122
4.37,-38.608
82.25,-50.09
