x,C
-96.972,0.831
-95.68,1.2605
-92.277,0.9718
-83.737,0.8239
-81.778,2.176
-75.395,1.3803
-54.465,0.7324
-52.958,2.2253
-44.509,1.3239
-35.939,0.7817
