x,C-Vh=-20
2.283,-110.694
5.157,-152.809
10.307,-113.171
50.907,-111.578
51.604,-170.181
52.509,-142.758
53.264,-140.529
54.859,-205.188
60.129,-123.965
99.771,-113.525
100.489,-170.858
101.448,-152.101
102.286,-147.854
103.244,-194.924
105.4,-142.546
148.036,-116.71
148.755,-199.348
149.713,-176.698
150.431,-175.105
151.509,-238.278
157.138,-143.961
196.301,-115.825
196.66,-211.558
197.379,-194.924
198.097,-191.208
199.654,-229.254
201.331,-178.998
210.313,-135.113
